year,total_tokens,hvarfor_abs,varfor_abs,hvarfor_per_million,varfor_per_million
1962,534847,0,148,0.0,276.7146492361367
1963,956836,1,268,1.0451111789272143,280.08979595249343
1964,955771,2,170,2.0925514584560525,177.86687396876448
1965,1351123,2,285,1.480250132667418,210.9356439051071
1966,1632356,6,365,3.675668787935965,223.60318459943787
1967,2115653,8,465,3.7813384330984334,219.79029642384643
1968,1795357,11,499,6.1269151483521105,277.93915082070026
1969,1383826,0,350,0.0,252.9219714039193
1970,614496,,127,,206.67343644222257
1971,1578096,,484,,306.6987052752177
1972,1056660,,294,,278.23519391289534
1973,869299,4,209,4.60140872128002,240.42360568688105
1974,841974,0,116,0.0,137.7714751286857
1975,598124,,133,,222.36191826444013
1976,2590482,,1325,,511.4878235015723
1977,3602856,4,1737,1.1102303283839265,482.11752010072007
1978,693370,0,181,0.0,261.0438871021244
1979,1097683,,331,,301.5442527578545
1980,993090,2,265,2.0139161606702314,266.84389128880565
1981,898033,2,438,2.2270896503803312,487.7326334332925
1982,1030653,1,360,0.9702586612565044,349.2931180523416
1983,688365,0,224,0.0,325.40875843484196
1984,719426,,123,,170.96963412498297
1985,776908,,232,,298.61965638145057
1986,2258676,1,529,0.4427372496099485,234.20800504366275
1987,4657591,1,1332,0.21470326613049534,285.9847504858198
1988,1766563,0,558,0.0,315.8675914756507
1989,941135,,284,,301.76329644524964
1990,521768,,170,,325.81530488646297
1991,1027184,1,404,0.973535413324195,393.30830698297484
1992,1457288,1,722,0.6862061582885469,495.4408462843309
1993,2030001,0,759,0.0,373.8914414327875
1994,1962019,4,985,2.0387162407703494,502.03387428969853
1995,5701640,0,1637,0.0,287.1103752604514
1996,7465211,11,2134,1.4735015527357498,285.85930123073547
1997,7914013,0,2524,0.0,318.9279572828602
1998,25072380,3,6825,0.11965357895820022,272.2118921299055
1999,1744529,3,831,1.7196618686189797,476.3463376074574
2000,1185847,0,380,0.0,320.44606091679617
2001,1513769,,517,,341.5316339547183
2002,1827198,,967,,529.2256230578186
2003,2565158,2,1101,0.7796790685018233,429.2133272102537
2004,2681335,2,1322,0.7458970997656018,493.03798294506277
2005,983435,0,348,0.0,353.8617193815555
2006,58742104,,16963,,288.7707256791483
2007,1581350,,550,,347.8040914408575
2008,781619,1,340,1.279395715815506,434.99454337727207
2009,1879852,0,672,0.0,357.47495015565056
2010,1976886,,703,,355.60978225350374
2011,3979875,1,857,0.25126417286975095,215.33339614937654
2012,3705230,0,940,0.0,253.69545210418786
2013,855487,,246,,287.5555093180843
2014,126350,,4,,31.658092599920856
2015,28601,,0,,0.0
2016,20200,,,,
2017,18955,,,,
2018,90555,,10,,110.43012533819225
2019,185319,,14,,75.54541088609372
2020,0,,,,
2021,30636,0,0,0.0,0.0
2022,77967,,3,,38.477817538189235
2023,0,,,,
2024,,,,,
2025,,,,,
2026,,,,,
